feature nr: 496, importance: 0.04471
feature nr: 6645, importance: 0.02962
feature nr: 6970, importance: 0.07270
feature nr: 31205, importance: 0.81825
feature nr: 71382, importance: 0.01435
feature nr: 112984, importance: 0.02037
