feature nr: 8888, importance: 0.00015
feature nr: 8941, importance: 0.00000
feature nr: 9009, importance: 0.00243
feature nr: 9018, importance: 0.00030
feature nr: 9067, importance: 0.00079
feature nr: 9074, importance: 0.00007
feature nr: 9112, importance: 0.00004
feature nr: 9203, importance: 0.00023
feature nr: 9495, importance: 0.00049
feature nr: 9525, importance: 0.00030
feature nr: 9601, importance: 0.00000
feature nr: 9706, importance: 0.00000
feature nr: 9774, importance: 0.00004
feature nr: 9823, importance: 0.00001
feature nr: 9837, importance: 0.00005
feature nr: 9852, importance: 0.00001
feature nr: 9965, importance: 0.00018
feature nr: 10030, importance: 0.00002
feature nr: 10040, importance: 0.00003
feature nr: 10059, importance: 0.00000
feature nr: 10070, importance: 0.00001
feature nr: 10120, importance: 0.00223
feature nr: 10240, importance: 0.00047
feature nr: 10251, importance: 0.00047
feature nr: 10331, importance: 0.00001
feature nr: 10353, importance: 0.00021
feature nr: 10384, importance: 0.00001
feature nr: 10460, importance: 0.00000
feature nr: 10713, importance: 0.00817
feature nr: 10848, importance: 0.00003
feature nr: 10899, importance: 0.00012
feature nr: 10928, importance: 0.00004
feature nr: 11025, importance: 0.00001
feature nr: 11117, importance: 0.00003
feature nr: 11140, importance: 0.00002
feature nr: 11245, importance: 0.00008
feature nr: 11249, importance: 0.00003
feature nr: 11283, importance: 0.00017
feature nr: 11289, importance: 0.00001
feature nr: 11487, importance: 0.00007
feature nr: 11554, importance: 0.00022
feature nr: 11608, importance: 0.00001
feature nr: 11612, importance: 0.00009
feature nr: 11634, importance: 0.00013
feature nr: 11673, importance: 0.00010
feature nr: 11948, importance: 0.00001
feature nr: 12034, importance: 0.00019
feature nr: 12142, importance: 0.00000
feature nr: 12310, importance: 0.00442
feature nr: 12345, importance: 0.00075
feature nr: 12354, importance: 0.00001
feature nr: 12369, importance: 0.00001
feature nr: 12414, importance: 0.00007
feature nr: 12427, importance: 0.00001
feature nr: 12449, importance: 0.00001
feature nr: 12463, importance: 0.00002
feature nr: 12549, importance: 0.00000
feature nr: 12558, importance: 0.00107
feature nr: 12573, importance: 0.00021
feature nr: 12646, importance: 0.00000
feature nr: 12820, importance: 0.00000
feature nr: 12885, importance: 0.00007
feature nr: 12949, importance: 0.00000
feature nr: 13231, importance: 0.00001
feature nr: 13275, importance: 0.00016
feature nr: 13279, importance: 0.00000
feature nr: 13514, importance: 0.00007
feature nr: 13558, importance: 0.00002
feature nr: 13618, importance: 0.00005
feature nr: 13646, importance: 0.00010
feature nr: 13648, importance: 0.00022
feature nr: 13801, importance: 0.00000
feature nr: 13911, importance: 0.00013
feature nr: 14064, importance: 0.00027
feature nr: 14072, importance: 0.00011
feature nr: 14092, importance: 0.00005
feature nr: 14197, importance: 0.00000
feature nr: 14385, importance: 0.00001
feature nr: 14573, importance: 0.00003
feature nr: 14605, importance: 0.00000
feature nr: 14619, importance: 0.00024
feature nr: 14661, importance: 0.00002
feature nr: 14791, importance: 0.00001
feature nr: 14873, importance: 0.00001
feature nr: 14940, importance: 0.00003
feature nr: 14948, importance: 0.00001
feature nr: 15146, importance: 0.00000
feature nr: 15226, importance: 0.00000
feature nr: 15277, importance: 0.00007
feature nr: 15344, importance: 0.00001
feature nr: 15414, importance: 0.00001
feature nr: 15616, importance: 0.00000
feature nr: 15852, importance: 0.00012
feature nr: 15860, importance: 0.00080
feature nr: 15869, importance: 0.00005
feature nr: 15988, importance: 0.00001
feature nr: 16029, importance: 0.00043
feature nr: 16230, importance: 0.00002
feature nr: 16278, importance: 0.00003
feature nr: 16311, importance: 0.00002
feature nr: 16333, importance: 0.00000
feature nr: 16388, importance: 0.00001
feature nr: 16745, importance: 0.00045
feature nr: 16806, importance: 0.00001
feature nr: 16813, importance: 0.00016
feature nr: 16816, importance: 0.00000
feature nr: 16940, importance: 0.00000
feature nr: 17183, importance: 0.00005
feature nr: 17578, importance: 0.00001
feature nr: 17785, importance: 0.00001
feature nr: 18064, importance: 0.00000
feature nr: 18191, importance: 0.00011
feature nr: 18247, importance: 0.00008
feature nr: 18268, importance: 0.00000
feature nr: 18346, importance: 0.00007
feature nr: 18364, importance: 0.00000
feature nr: 18479, importance: 0.00002
feature nr: 18481, importance: 0.00001
feature nr: 18522, importance: 0.00030
feature nr: 18544, importance: 0.00002
feature nr: 18763, importance: 0.00001
feature nr: 18956, importance: 0.00003
feature nr: 18994, importance: 0.00004
feature nr: 19010, importance: 0.00001
feature nr: 19226, importance: 0.00028
feature nr: 19244, importance: 0.00004
feature nr: 19346, importance: 0.00012
feature nr: 19358, importance: 0.00000
feature nr: 19738, importance: 0.00031
feature nr: 19771, importance: 0.00014
feature nr: 19877, importance: 0.00000
feature nr: 20212, importance: 0.00028
feature nr: 20241, importance: 0.00001
feature nr: 20266, importance: 0.00008
feature nr: 20287, importance: 0.00001
feature nr: 20316, importance: 0.00004
feature nr: 20342, importance: 0.00017
feature nr: 20420, importance: 0.00001
feature nr: 20493, importance: 0.00025
feature nr: 20592, importance: 0.00001
