feature,importances,count
203135,[1e-05],1
203211,[0.00035],1
203245,[4e-05],1
203359,[2e-05],1
203381,[0.00023],1
203443,[8e-05],1
203505,[2e-05],1
203615,[1e-05],1
203633,[0.00011],1
204437,[0.00043],1
203744,[3e-05],1
203753,[0.00024],1
203809,[0.0],1
203891,[0.00016],1
203896,[0.00022],1
204001,[0.00027],1
204050,[0.00025],1
204150,[0.0],1
204199,[0.0],1
204353,[8e-05],1
198125,[5e-05],1
197959,[0.00012],1
188842,[0.0],1
192105,[0.0],1
190515,[0.00062],1
190558,[0.0],1
190575,[0.0],1
190601,[3e-05],1
190611,[4e-05],1
190652,[0.00013],1
190658,[6e-05],1
190708,[0.0014],1
190716,[2e-05],1
190794,[0.0001],1
190827,[2e-05],1
190881,[5e-05],1
191243,[2e-05],1
191378,[0.00054],1
191470,[0.00035],1
191546,[9e-05],1
191666,[0.00194],1
191798,[0.0],1
191857,[1e-05],1
191909,[3e-05],1
191950,[4e-05],1
191989,[0.0],1
191997,[9e-05],1
190508,[3e-05],1
190437,[1e-05],1
190367,[8e-05],1
189365,[4e-05],1
188854,[0.0],1
188859,[2e-05],1
188889,[0.0],1
188939,[3e-05],1
189016,[2e-05],1
189027,[3e-05],1
189029,[1e-05],1
189124,[0.0],1
189301,[8e-05],1
189329,[0.01272],1
189380,[0.00024],1
190332,[1e-05],1
189388,[1e-05],1
189400,[0.0],1
189663,[4e-05],1
189814,[3e-05],1
189829,[0.00035],1
189908,[0.0],1
189916,[4e-05],1
190019,[0.00014],1
190206,[1e-05],1
190300,[1e-05],1
191999,[0.00985],1
192392,[1e-05],1
197834,[0.0],1
192541,[6e-05],1
195020,[0.0],1
195110,[0.00122],1
195354,[0.00013],1
195531,[4e-05],1
195634,[9e-05],1
195706,[0.00046],1
195948,[5e-05],1
196049,[0.0],1
196159,[0.0],1
196337,[1e-05],1
196508,[0.0001],1
196529,[0.0],1
196617,[0.00021],1
196643,[5e-05],1
196742,[9e-05],1
196792,[8e-05],1
196808,[0.0],1
197042,[0.0],1
197095,[0.0],1
197229,[1e-05],1
197302,[9e-05],1
197640,[2e-05],1
197784,[0.00048],1
194999,[2e-05],1
194919,[4e-05],1
194875,[3e-05],1
193489,[0.00017],1
192690,[1e-05],1
192726,[0.0002],1
192919,[0.0],1
193028,[9e-05],1
193092,[0.00056],1
193163,[4e-05],1
193283,[4e-05],1
193304,[0.0],1
193384,[0.00012],1
193457,[5e-05],1
193507,[2e-05],1
194845,[0.00023],1
193513,[2e-05],1
193742,[1e-05],1
193798,[0.00011],1
193874,[9e-05],1
193974,[6e-05],1
194376,[0.0],1
194396,[0.00014],1
194454,[6e-05],1
194537,[0.0],1
194649,[1e-05],1
