name,values
Accuracy,0.9907407407407407
Precision,[1.         0.98958333]
Recall,[0.92307692 1.        ]
f1,[0.96      0.9947644]
mcc,0.9557518184453213
roc_auc,[1. 1.]
pr_auc,[0.9999999999999998 1.0]
