name,values
Accuracy,0.981651376146789
Precision,[1.         0.98113208]
Recall,[0.6 1. ]
f1,[0.75       0.99047619]
mcc,0.7672543550107871
roc_auc,[0.98269231 0.98269231]
pr_auc,[0.7873015873015872 0.9991645745876074]
