name,values
Accuracy,0.9910313901345291
Precision,[1.         0.99004975]
Recall,[0.91666667 1.        ]
f1,[0.95652174 0.995     ]
mcc,0.9526518804404888
roc_auc,[0.99958124 0.99958124]
pr_auc,[0.9965247584541063 0.9999498737468435]
