name,values
Accuracy,0.9820051413881749
Precision,"[0.95402299 0.98076923 0.985      1.         0.9787234  0.98484848
 0.94186047 1.         1.         1.         0.97826087 0.98412698
 0.98449612 0.99099099]"
Recall,"[0.94318182 0.98076923 0.99494949 0.98734177 1.         0.98484848
 1.         0.92753623 0.98947368 1.         0.97826087 0.98412698
 0.98449612 1.        ]"
f1,"[0.94857143 0.98076923 0.98994975 0.99363057 0.98924731 0.98484848
 0.97005988 0.96240602 0.99470899 1.         0.97826087 0.98412698
 0.98449612 0.99547511]"
mcc,0.9804473364344573
roc_auc,"[0.99717968 0.99985431 0.99980661 1.         0.99995681 0.99990956
 0.99976564 0.99872323 1.         1.         0.99982923 0.9991786
 0.99986419 1.        ]"
