name,values
Accuracy,0.993006993006993
Precision,[1.         0.99230769]
Recall,[0.92857143 1.        ]
f1,[0.96296296 0.996139  ]
mcc,0.9599107101332767
roc_auc,[0.9772979 0.9772979]
pr_auc,[0.9462602212602211 0.9970627622464302]
