name,values
Accuracy,0.993103448275862
Precision,[0.92307692 1.        ]
Recall,[1.        0.9924812]
f1,[0.96       0.99622642]
mcc,0.9571501946318893
roc_auc,[0.99749373 0.99749373]
pr_auc,[0.9693117068117069 0.9997796659962487]
