"ensembl_gene_id","gene_name"
"ENSG00000055070","SZRD1"
"ENSG00000069667","RORA"
"ENSG00000243156","MICAL3"
"ENSG00000163531","NFASC"
"ENSG00000154928","EPHB1"
"ENSG00000240086","AC092969.1"
"ENSG00000178209","PLEC"
"ENSG00000162426","SLC45A1"
"ENSG00000115306","SPTBN1"
"ENSG00000144791","LIMD1"
"ENSG00000111530","CAND1"
"ENSG00000054277","OPN3"
"ENSG00000203668","CHML"
"ENSG00000287513","AL133390.1"
"ENSG00000173706","HEG1"
"ENSG00000185825","BCAP31"
"ENSG00000089225","TBX5"
"ENSG00000255399","TBX5-AS1"
"ENSG00000108001","EBF3"
"ENSG00000011105","TSPAN9"
"ENSG00000189134","NKAPL"
"ENSG00000144036","EXOC6B"
"ENSG00000142408","CACNG8"
"ENSG00000082497","SERTAD4"
"ENSG00000203706","SERTAD4-AS1"
"ENSG00000142599","RERE"
"ENSG00000164080","RAD54L2"
"ENSG00000090316","MAEA"
"ENSG00000184378","ACTRT3"
"ENSG00000269889","AC078802.1"
"ENSG00000168356","SCN11A"
"ENSG00000171606","ZNF274"
"ENSG00000108557","RAI1"
"ENSG00000104313","EYA1"
"ENSG00000146555","SDK1"
"ENSG00000202264","RNA5SP77"
"ENSG00000156127","BATF"
"ENSG00000163710","PCOLCE2"
"ENSG00000038382","TRIO"
"ENSG00000108239","TBC1D12"
"ENSG00000258728","AL162231.3"
"ENSG00000137070","IL11RA"
"ENSG00000286417","AL133334.1"
"ENSG00000169814","BTD"
"ENSG00000083168","KAT6A"
"ENSG00000183826","BTBD9"
"ENSG00000198010","DLGAP2"
"ENSG00000002822","MAD1L1"
"ENSG00000286192","AC069288.1"
"ENSG00000223614","ZNF735"
"ENSG00000204956","PCDHGA1"
"ENSG00000081853","PCDHGA2"
"ENSG00000254245","PCDHGA3"
"ENSG00000254221","PCDHGB1"
"ENSG00000262576","PCDHGA4"
"ENSG00000253910","PCDHGB2"
"ENSG00000253485","PCDHGA5"
"ENSG00000262209","PCDHGB3"
"ENSG00000253731","PCDHGA6"
"ENSG00000253537","PCDHGA7"
"ENSG00000253953","PCDHGB4"
"ENSG00000253767","PCDHGA8"
"ENSG00000276547","PCDHGB5"
"ENSG00000261934","PCDHGA9"
"ENSG00000253305","PCDHGB6"
"ENSG00000253846","PCDHGA10"
"ENSG00000254122","PCDHGB7"
"ENSG00000253873","PCDHGA11"
"ENSG00000253159","PCDHGA12"
"ENSG00000236204","LINC01376"
"ENSG00000155093","PTPRN2"
"ENSG00000146592","CREB5"
"ENSG00000176435","CLEC14A"
"ENSG00000259072","AL355835.1"
"ENSG00000048740","CELF2"
"ENSG00000229240","LINC00710"
"ENSG00000153956","CACNA2D1"
"ENSG00000160877","NACC1"
"ENSG00000116690","PRG4"
"ENSG00000116791","CRYZ"
"ENSG00000155093","PTPRN2"
"ENSG00000286836","AC092844.1"
"ENSG00000138363","ATIC"
"ENSG00000165588","OTX2"
"ENSG00000248550","OTX2-AS1"
"ENSG00000131018","SYNE1"
"ENSG00000092607","TBX15"
"ENSG00000184937","WT1"
"ENSG00000257935","LHX5-AS1"
"ENSG00000025039","RRAGD"
"ENSG00000137868","STRA6"
"ENSG00000140481","CCDC33"
"ENSG00000113520","IL4"
"ENSG00000113448","PDE4D"
"ENSG00000061936","SFSWAP"
