"num_sig_genes"
"KIRC_Genes and covars16" 36
"KIRC_Genes and covars17" 39
"KIRC_Genes and covars18" 36
"KIRC_Genes and covars19" 43
"KIRC_Genes and covars20" 38
"KIRC_Genes and covars21" 37
"KIRC_Genes and covars22" 44
"KIRC_Genes and covars23" 40
"KIRC_Genes and covars24" 34
"KIRC_Genes and covars25" 35
"KIRC_Genes and covars26" 34
"KIRC_Genes and covars27" 38
"KIRC_Genes and covars28" 43
"KIRC_Genes and covars29" 36
"KIRP_Genes and covars" 2
"KIRP_Genes and covars1" 3
"KIRP_Genes and covars2" 7
"KIRP_Genes and covars3" 8
"KIRP_Genes and covars4" 11
"KIRP_Genes and covars5" 13
"KIRP_Genes and covars6" 6
"KIRP_Genes and covars7" 5
"KIRP_Genes and covars8" 3
"KIRP_Genes and covars9" 13
"KIRP_Genes and covars10" 7
"KIRP_Genes and covars11" 3
"KIRP_Genes and covars12" 2
"KIRP_Genes and covars13" 3
"KIRP_Genes and covars14" 16
"KIRP_Genes and covars15" 5
"KIRP_Genes and covars16" 10
"KIRP_Genes and covars17" 10
"KIRP_Genes and covars18" 10
"KIRP_Genes and covars19" 6
"KIRP_Genes and covars20" 5
"KIRP_Genes and covars21" 5
"KIRP_Genes and covars22" 5
"KIRP_Genes and covars23" 13
"KIRP_Genes and covars24" 10
"KIRP_Genes and covars25" 7
"KIRP_Genes and covars26" 6
"KIRP_Genes and covars27" 8
"KIRP_Genes and covars28" 6
"KIRP_Genes and covars29" 2
"LIHC_Genes and covars" 27
"LIHC_Genes and covars1" 17
"LIHC_Genes and covars2" 22
"LIHC_Genes and covars3" 18
"LIHC_Genes and covars4" 20
"LIHC_Genes and covars5" 16
"LIHC_Genes and covars6" 19
"LIHC_Genes and covars7" 14
"LIHC_Genes and covars8" 12
"LIHC_Genes and covars9" 20
"LIHC_Genes and covars10" 12
"LIHC_Genes and covars11" 18
"LIHC_Genes and covars12" 14
"LIHC_Genes and covars13" 14
"LIHC_Genes and covars14" 16
"LIHC_Genes and covars15" 13
"LIHC_Genes and covars16" 19
"LIHC_Genes and covars17" 13
"LIHC_Genes and covars18" 16
"LIHC_Genes and covars19" 14
"LIHC_Genes and covars20" 19
"LIHC_Genes and covars21" 16
"LIHC_Genes and covars22" 19
"LIHC_Genes and covars23" 15
"LIHC_Genes and covars24" 21
"LIHC_Genes and covars25" 15
"LIHC_Genes and covars26" 13
"LIHC_Genes and covars27" 21
"LIHC_Genes and covars28" 22
"LIHC_Genes and covars29" 12
"LUAD_Genes and covars" 10
"LUAD_Genes and covars1" 9
"LUAD_Genes and covars2" 9
"LUAD_Genes and covars3" 9
"LUAD_Genes and covars4" 13
"LUAD_Genes and covars5" 10
"LUAD_Genes and covars6" 6
"LUAD_Genes and covars7" 11
"LUAD_Genes and covars8" 12
"LUAD_Genes and covars9" 9
"LUAD_Genes and covars10" 9
"LUAD_Genes and covars11" 7
"LUAD_Genes and covars12" 10
"LUAD_Genes and covars13" 12
"LUAD_Genes and covars14" 13
"LUAD_Genes and covars15" 9
"LUAD_Genes and covars16" 6
"LUAD_Genes and covars17" 9
"LUAD_Genes and covars18" 5
"LUAD_Genes and covars19" 10
"LUAD_Genes and covars20" 11
"LUAD_Genes and covars21" 11
"LUAD_Genes and covars22" 9
"LUAD_Genes and covars23" 4
"LUAD_Genes and covars24" 6
"LUAD_Genes and covars25" 9
"LUAD_Genes and covars26" 6
