name,values
Accuracy,0.8670212765957447
Precision,"[0.95708155 0.         1.         0.36842105 0.95522388 1.
 0.97058824 0.         0.98507463 0.         1.         0.85714286]"
Recall,"[0.84469697 0.         0.825      0.77777778 0.96       0.11904762
 0.7173913  0.         1.         0.         0.95477387 0.89189189]"
f1,"[0.89738431 0.         0.90410959 0.5        0.95760599 0.21276596
 0.825      0.         0.9924812  0.         0.97686375 0.87417219]"
mcc,0.8440682829016053
roc_auc,
