,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
44,KCNK15-AS1,1,0,0.07047403741340866,0.07101852606602149,0.07201406607078223,0.09413707287409644,0.0777143141598523,0.07888665815948225,0.08055022742387327,0.08461882923995546,0.11336928531201235,0.11493540395137923,0.06758341736932726,0.07276692676096913,0.07151408767256613,0.07660695118360343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ZFAS1,53,6,0.036729747229574866,0.03379367445525973,0.03992371283122215,0.033685745844919485,0.031200674822317163,0.03432583497244307,0.03479438669481909,0.031522124764430684,0.03818039702625826,0.044795644130064136,0.035832268531259294,0.03538789463524049,0.03493163635661516,0.041337819763171316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8983050847457628,35,23,17,9,0,12,19,1,9,2,2,3,9,6,0,0,0,1,3
46,AP003555.2,1,0,0.14832459039417062,0.21762399152899492,0.3141181059723149,0.4657026479006929,0.2829785798535373,0.39644316453810796,0.14209533772494534,0.15402166551542634,0.1712544299106957,0.3474554331836812,0.2983696795915503,0.3428330843401449,0.2152297443849769,0.370903798482258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,PVT1,166,8,0.6869896499783703,0.2802283318134243,0.40581991772117343,0.765177200384489,0.6858616632671981,0.6259176015986402,0.5811023402578432,0.8049802737122419,0.820145305775145,0.6536288779472252,0.6423599470626976,0.743351282169213,0.8228146636850941,0.775524232272473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9540229885057471,79,49,43,25,5,23,42,2,10,4,8,3,12,2,0,3,4,4,11
48,ZNF674-AS1,0,1,0.12820979596510085,0.07032589534547162,0.36450946808429485,0.1341261452710319,0.05212540606911566,0.07620600442344322,0.08773571337982967,0.0685069955589186,0.07575445534648519,0.19163842045729235,0.07099199270604431,0.03416512914491719,0.19713660189636,0.4323204807282344,0.00214337066517091,0.00272473554852682,0.028675943998348524,0.009301337299962846,0.0008388710078192189,0.001464200570533425,0.0009617961365168265,0.0011073932050535973,0.003671160370381815,0.01112974791306072,0.003923171496302717,0.0025567319056179587,0.012182738306403164,0.016430833627163466,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,GAB2,1,0,0.8426932446052896,0.7835525826507088,0.8813542896599931,0.8864194694430425,0.778616136845431,0.6382719813690922,0.8042190840530483,0.8760000381970806,0.8477411919516857,0.8117626745119795,0.7685349408920359,0.8565880609490617,0.9087928189042949,0.8782866973915366,0.05725675721905432,0.0059346351941060305,0.0024391399125160973,0.015391292633754994,0.0019171918197794513,0.006193933323179025,0.08943542622273443,0.02134869198089928,0.021881100555593114,0.002741614911270951,0.008933513965398487,0.0037594159191213783,0.0024939581731972527,0.009787145961085153,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,LINC01121,2,0,0.8826885276592891,0.8475309785018935,0.8830532297340026,0.8696409328512594,0.8422976381631311,0.8239315051803653,0.8765212720354265,0.8756776526069909,0.8591940074825901,0.8222130589246271,0.8453812866324644,0.8643465646467743,0.8715926270462391,0.8600928608020552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,SNHG14,22,1,0.5610471204240892,0.43892491987514504,0.5039271192620498,0.4096230289027484,0.3326360367791775,0.4018450022159469,0.5389979690565591,0.5317111165018298,0.4589787300968261,0.5096017989511138,0.4447029699861225,0.5239527504025295,0.5562007314542442,0.5127428790900858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,14,11,9,2,1,5,9,1,1,4,1,0,1,0,0,0,0,0,0
52,JPX,2,4,0.6912745979148418,0.4777498817953226,0.5688673417297831,0.6106338774312251,0.436024853161116,0.49424821174017697,0.8106012404233751,0.8022015930978732,0.4099909020121926,0.6366219094210971,0.4642852294292206,0.5606448148041608,0.8623838919200922,0.64889733511044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,1,1,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
53,LINC01006,1,1,0.5556188100540368,0.4501119863414444,0.49802858438204783,0.6902031012901577,0.5903375049271639,0.5610366845745198,0.5327686227892219,0.5289957749308982,0.5818289589417885,0.5287379314630041,0.5729435078694599,0.6990596134282085,0.5610133439386985,0.5206305045446517,0.34971791906534844,0.1908182543492632,0.29921378904559026,0.1946599438317722,0.18936714661292206,0.16926009562613595,0.36764912287568985,0.3797167004796213,0.27355883675064796,0.24533700865207156,0.24967034059669593,0.20204623272461902,0.3505288257613439,0.35424470024588056,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
