name,values
Accuracy,0.9749357326478149
Precision,"[0.95348837 0.99038462 0.98       0.9875     0.95555556 0.94852941
 0.975      0.95652174 1.         0.98347107 0.97701149 0.95384615
 0.99230769 1.        ]"
Recall,"[0.93714286 0.99038462 0.98989899 1.         0.93478261 0.97727273
 0.96296296 0.95652174 0.96842105 1.         0.91397849 0.98412698
 1.         1.        ]"
f1,"[0.94524496 0.99038462 0.98492462 0.99371069 0.94505495 0.96268657
 0.9689441  0.95652174 0.98395722 0.99166667 0.94444444 0.96875
 0.996139   1.        ]"
mcc,0.9727667899763977
roc_auc,"[0.99300714 0.99623861 0.99991818 0.99984574 0.99915059 0.99887215
 0.99984934 0.99909359 0.99992075 0.9999883  0.99874319 0.9987235
 0.99991308 1.        ]"
