name,values
Accuracy,0.9595115681233933
Precision,"[0.91525424 0.95327103 0.97512438 1.         0.94117647 0.89928058
 0.975      0.97058824 1.         1.         0.92473118 0.94573643
 0.97709924 0.99099099]"
Recall,"[0.92571429 0.98076923 0.98989899 1.         0.69565217 0.9469697
 0.96296296 0.95652174 0.93684211 0.99159664 0.92473118 0.96825397
 0.99224806 1.        ]"
f1,"[0.92045455 0.96682464 0.98245614 1.         0.8        0.92250923
 0.9689441  0.96350365 0.9673913  0.99578059 0.92473118 0.95686275
 0.98461538 0.99547511]"
mcc,0.9560082445655196
roc_auc,"[0.9861922  0.99960267 0.9997657  0.99999143 0.99843075 0.99823374
 0.9997489  0.99196905 0.99974783 1.         0.99590619 0.9986236
 0.99975555 1.        ]"
