name,values
Accuracy,0.9820627802690582
Precision,[0.91666667 0.98994975]
Recall,[0.91666667 0.98994975]
f1,[0.91666667 0.98994975]
mcc,0.9066164154103853
roc_auc,[0.99853434 0.99853434]
