name,values
Accuracy,0.9865470852017937
Precision,[0.95652174 0.99      ]
Recall,[0.91666667 0.99497487]
f1,[0.93617021 0.9924812 ]
mcc,0.9289179387262017
roc_auc,[0.99937186 0.99937186]
