name,values
Accuracy,0.965034965034965
Precision,[0.73684211 1.        ]
Recall,[1.         0.96124031]
f1,[0.84848485 0.98023715]
mcc,0.8415951127123601
roc_auc,[0.99944629 0.99944629]
