name,values
Accuracy,0.9781491002570694
Precision,"[0.95833333 0.99038462 0.97979798 0.9875     0.97826087 0.96323529
 0.96296296 0.95714286 1.         1.         1.         0.94656489
 0.98473282 1.        ]"
Recall,"[0.92       0.99038462 0.97979798 1.         0.97826087 0.99242424
 0.96296296 0.97101449 0.97894737 1.         0.95698925 0.98412698
 1.         1.        ]"
f1,"[0.93877551 0.99038462 0.97979798 0.99371069 0.97826087 0.97761194
 0.96296296 0.96402878 0.9893617  1.         0.97802198 0.96498054
 0.99230769 1.        ]"
mcc,0.9762713976452669
roc_auc,"[0.99170373 0.99977485 0.99992562 0.99996572 0.99937374 0.99991488
 0.99976564 0.99935674 0.99996398 1.         0.99955167 0.99929792
 0.99992938 1.        ]"
